Char		Freqency/Probability	Codeword		Length
e			0.093049				000			3     
g			0.021896				00100			5     
Y			0.002504				00101000			8     
x			0.001257				001010010			9     
K			0.001327				001010011			9     
G			0.001448				001010100			9     
B			0.000714				0010101010			10    
N			0.000810				0010101011			10    
)			0.002997				00101011			8     
c			0.011105				001011			6     
a			0.050420				0011			4     
m			0.025747				01000			5     
A			0.006107				0100100			7     
(			0.002997				01001010			8     
E			0.001547				010010110			9     
D			0.000417				01001011100			11    
2			0.000417				01001011101			11    
P			0.000836				0100101111			10    
p			0.006661				0100110			7     
O			0.000838				0100111000			10    
-			0.000933				0100111001			10    
J			0.001774				010011101			9     
T			0.003938				01001111			8     
d			0.027017				01010			5     
y			0.028384				01011			5     
n			0.056646				0110			4     
t			0.057294				0111			4     
u			0.031821				10000			5     
l			0.032323				10001			5     
'			0.015914				100100			6     
C			0.004033				10010100			8     
0			0.000417				10010101000			11    
1			0.000516				10010101001			11    
]			0.001031				1001010101			10    
[			0.001031				1001010110			10    
V			0.000516				10010101110			11    
END SIGN	0.000000				10010101111000			14    
L			0.000098				10010101111001			14    
j			0.000196				1001010111101			13    
F			0.000295				100101011111			12    
k			0.008512				1001011			7     
w			0.017213				100110			6     
I			0.017490				100111			6     
o			0.068738				1010			4     
h			0.035047				10110			5     
r			0.035251				10111			5     
ENTER		0.037556				11000			5     
,			0.004301				11001000			8     
S			0.002283				110010010			9     
R			0.001129				1100100110			10    
M			0.001254				1100100111			10    
b			0.009231				1100101			7     
v			0.009249				1100110			7     
f			0.010324				1100111			7     
s			0.039099				11010			5     
i			0.043482				11011			5     
SPACE		0.162571				111			3     

Number of chars in text: 56 char
The END SIGN is auto padded for DECODE PROCESS
Sum of length: 429 | Avarage length: 7.660714 | Entropy: 4.548659 | Max entropy: 5.807355
Statistic Compression ratio: 0.593764
Optimal Compression ratio: 0.758070


